日本|にほん
子供|こども
小さい|ちいさい
良い|よい
勉強|べんきょう
本当|ほんとう
小学生|しょうがくせい
毎日|まいにち
学校|がっこう
だけ
内|うち
母さん|かあさん
せる|せる
教育|きょういく
とても|とても
熱心|ねっしん
沢山|たくさん
そういう
言う|いう
終わる|おわる
塾|じゅく
特別|とくべつ
もっと|もっと
英語|えいご
だから|だから
アメリカ|あめりか
より
遊ぶ|あそぶ
時間|じかん
少ない|すくない
知れる|しれる
大学|だいがく
入学|にゅうがく
試験|しけん
難しい|むずかしい
時|とき
パス|ぱす
ばかり
疲れる|つかれる
大抵|たいてい
入る|はいる
学生|がくせい
あんまり|あんまり
大学生|だいがくせい
方|ほう
ずっと|ずっと
随分|ずいぶん
違う|ちがう
習慣|しゅうかん
スミス
こちら
月|がつ
始める|はじめる
どうぞ|どうぞ
宜しい|よろしい
願う|ねがう
こそ
来年|らいねん
行く|いく
初め|はじめ
東京|とうきょう
予定|よてい
年|ねん
つもり
ホスト|ほすと
ファミリー|ふぁみりー
生活|せいかつ
家|いえ
少し|すこし
説明|せつめい
頂ける|いただける
です
色々|いろいろ
質問|しつもん
下さる|くださる
御飯|ごはん
食べる|たべる
箸|はし
何時も|いつも
しか
使う|つかう
いいえ|いいえ
和食|わしょく
洋食|ようしょく
ナイフ|ないふ
フォーク|ふぉーく
イタリア|いたりあ
料理|りょうり
フランス|ふらんす
外国|がいこく
どう
ステーキ|すてーき
ハンバーガー|はんばーがー
など
物|もの
大体|だいたい
全部|ぜんぶ
大きい|おおきい
皿|さら
皆|みんな
食べ物|たべもの
乗せる|のせる
取る|とる
一人一人|ひとりひとり
自分|じぶん
呉れる|くれる
又|また
珈琲|こーひー
茶|ちゃ
飲む|のむ
啜る|すする
飲み物|のみもの
傍|そば
スパゲッティ|スパゲッティ
分かる|わかる
ところで|ところで
トイレ|といれ
風呂|ふろ
同じ|おなじ
所|しょ
昔|むかし
しゃがむ|しゃがむ
今|いま
座る|すわる
ドア|どあ
開ける|あける
おく|おく
閉める|しめる
忘れる|わすれる
中|なか
靴|くつ
履く|はく
まま
脱ぐ|ぬぐ
玄関|げんかん
スリッパ|すりっぱ
気|き
付ける|つける
方|かた
服|ふく
湯船|ゆぶね
前|まえ
湯|ゆ
体|からだ
綺麗|きれい
洗う|あらう
何も|なにも
入れる|いれる
汚い|きたない
なる|なる
タオル|たおる
生ける|いける
男|おとこ
人|じん
台所|だいどころ
聞く|きく
大丈夫|だいじょうぶ
唯|ただ
何度|なんど
冷蔵|れいぞう
冷蔵庫
好き|すき
多い|おおい
教える|おしえる
どうも|どうも
有難う|ありがとう
致す|いたす
御座る｜ござる
